RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area_Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject Effects,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,Census Tract,ZIP,County,County desc
7468763,2019391440,2/8/2019 0:00,1922,1400 REAGAN HILL DR,ID,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,459355689: 2019391440,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,6/23/2017 0:00,2,3130138,10092673,4,-,78752,1,TRAVIS COUNTY
7468763,2019391440,2/8/2019 0:00,1919,1400 REAGAN HILL DR,ID,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,459355689: 2019391440,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 600 REG I PATROL,6/23/2017 0:00,2,3130138,10092673,4,-,78752,1,TRAVIS COUNTY
7468763,2019391440,2/8/2019 0:00,1930,1400 REAGAN HILL DR,ID,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459355689: 2019391440,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,9/2/2018 0:00,0,3130138,10092673,4,-,78752,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND ANOTHER,3,459769827: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,4/16/2007 0:00,12,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459769830: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,3/21/2014 0:00,5,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,459769828: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,12/12/2014 0:00,4,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,459769827: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,H,,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,12/12/2014 0:00,4,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459769830: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,3/20/2015 0:00,4,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,458891233: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,3/20/2015 0:00,4,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459769828: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,5/29/2015 0:00,4,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7467146,2019400137,2/9/2019 0:00,152,404 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459769828: 2019400137,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,7/8/2016 0:00,3,3115542,10070511,9,-,78701,1,TRAVIS COUNTY
7466787,2019400142,2/8/2019 0:00,200,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,28705765: 2019400142,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,3/22/2013 0:00,6,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
7467194,2019400146,2/9/2019 0:00,204,13945 N US 183 HWY SVRD NB,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459085493: 2019400146,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 600 REG I PATROL,9/24/1999 0:00,19,3095702,10144170,6,-,78717,2,WILLIAMSON COUNTY
7467124,2019400197,2/9/2019 0:00,250,4600 ELMONT DR,HE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,288827014: 2019400197,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 800 REG IV PATROL,4/27/2007 0:00,12,3122852,10060647,3,23.17,78741,1,TRAVIS COUNTY
7467124,2019400197,2/9/2019 0:00,327,4600 ELMONT DR,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,288827014: 2019400197,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 700 REG III PATROL,12/12/2014 0:00,4,3122852,10060647,3,23.17,78741,1,TRAVIS COUNTY
7467222,2019400456,2/9/2019 0:00,1050,500 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459769836: 2019400456,NO COMPLAINT OF INJURY/PAIN,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 200 REG I DAYS,7/9/1999 0:00,20,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7467222,2019400456,2/9/2019 0:00,1050,500 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459769836: 2019400456,NO COMPLAINT OF INJURY/PAIN,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 200 REG I DAYS,6/27/2003 0:00,16,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7467222,2019400456,2/9/2019 0:00,1050,500 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459769836: 2019400456,NO COMPLAINT OF INJURY/PAIN,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 200 REG I DAYS,10/7/2011 0:00,7,3115951,10070759,9,-,78701,1,TRAVIS COUNTY
7448445,201940078,1/4/2019 0:00,115,12900 N IH 35 SVRD SB,ED,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,258343198: 201940078,NO COMPLAINT OF INJURY/PAIN,M,W,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,6/23/2017 0:00,2,3134231,10124160,7,-,78753,1,TRAVIS COUNTY
7448445,201940078,1/4/2019 0:00,115,12900 N IH 35 SVRD SB,ED,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,258343198: 201940078,NO COMPLAINT OF INJURY/PAIN,M,W,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,12/22/2017 0:00,1,3134231,10124160,7,-,78753,1,TRAVIS COUNTY
7448445,201940078,1/4/2019 0:00,115,12900 N IH 35 SVRD SB,ED,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,258343198: 201940078,NO COMPLAINT OF INJURY/PAIN,M,W,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,9/1/2018 0:00,0,3134231,10124160,7,-,78753,1,TRAVIS COUNTY
7467406,2019401191,2/9/2019 0:00,1855,5330 N IH 35 SVRD SB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459596693: 2019401191,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 800 REG III PATROL,6/23/2017 0:00,2,3124538,10087177,4,-,78751,1,TRAVIS COUNTY
7467406,2019401191,2/9/2019 0:00,1855,5330 N IH 35 SVRD SB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,3,459596693: 2019401191,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; PREPARATORY RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,IDA 600 REG I PATROL,6/23/2017 0:00,2,3124538,10087177,4,-,78751,1,TRAVIS COUNTY
7468864,2019401357,2/9/2019 0:00,,9900 S IH 35 SVRD SB,FR,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459607213: 2019401357,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 1 OCD,10/7/2011 0:00,7,3099603,10029695,5,-,78748,1,TRAVIS COUNTY
7448552,201940199,1/4/2019 0:00,400,N LAMAR BLVD / W 38TH ST,BA,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,153160570: 201940199,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,BAKER 800 NIGHT REG I PATROL,10/28/2016 0:00,2,3113920,10084252,9,-,78751,1,TRAVIS COUNTY
7448552,201940199,1/4/2019 0:00,400,N LAMAR BLVD / W 38TH ST,BA,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,153160570: 201940199,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,BAKER 800 NIGHT REG I PATROL,12/22/2017 0:00,1,3113920,10084252,9,-,78751,1,TRAVIS COUNTY
7448730,201940211,1/4/2019 0:00,430,10304 N LAMAR BLVD,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459051025: 201940211,MINOR INJURY,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,1/2/2009 0:00,10,3129454,10109157,4,18.22,78758,1,TRAVIS COUNTY
7448730,201940211,1/4/2019 0:00,430,10304 N LAMAR BLVD,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,34,459051025: 201940211,MINOR INJURY,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,2,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,12/22/2017 0:00,1,3129454,10109157,4,18.22,78758,1,TRAVIS COUNTY
7448730,201940211,1/4/2019 0:00,430,10304 N LAMAR BLVD,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459051025: 201940211,MINOR INJURY,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,9/1/2018 0:00,0,3129454,10109157,4,18.22,78758,1,TRAVIS COUNTY
7448663,201940416,1/4/2019 0:00,,13802 N US 183 HWY SVRD SB,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459748618: 201940416,NO COMPLAINT OF INJURY/PAIN,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,2,NO COMPLAINT OF INJURY/PAIN,ADAM 100 REG II PATROL,6/23/2006 0:00,13,3096110,10141200,6,204,78750,2,WILLIAMSON COUNTY
7448792,201940694,1/4/2019 0:00,1220,1800 E CESAR CHAVEZ ST,CH,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,458922140: 201940694,NO COMPLAINT OF INJURY/PAIN,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY; COMPLAINT OF INJURY/PAIN,GEORGE 100 REG I DAYS,9/9/2001 0:00,17,3119867,10067115,3,-,78702,1,TRAVIS COUNTY
7448792,201940694,1/4/2019 0:00,1220,1800 E CESAR CHAVEZ ST,CH,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,458922140: 201940694,NO COMPLAINT OF INJURY/PAIN,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,GEORGE 100 REG I DAYS,10/7/2011 0:00,7,3119867,10067115,3,-,78702,1,TRAVIS COUNTY
7448792,201940694,1/4/2019 0:00,1220,1800 E CESAR CHAVEZ ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458922140: 201940694,NO COMPLAINT OF INJURY/PAIN,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 100 REG I DAYS,3/21/2014 0:00,5,3119867,10067115,3,-,78702,1,TRAVIS COUNTY
7466947,2019410178,2/10/2019 0:00,258,403 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,4,1199752: 2019410178,NO COMPLAINT OF INJURY/PAIN,,,,,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115468,10070315,9,-,78701,1,TRAVIS COUNTY
7466947,2019410178,2/10/2019 0:00,256,403 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,322964269: 2019410178,COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115468,10070315,9,-,78701,1,TRAVIS COUNTY
7467171,2019410212,2/10/2019 0:00,230,401 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,459769967: 2019410212,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,4/23/2010 0:00,9,3115439,10070324,9,-,78701,1,TRAVIS COUNTY
7467171,2019410212,2/10/2019 0:00,231,401 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459769967: 2019410212,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,5/29/2015 0:00,4,3115439,10070324,9,-,78701,1,TRAVIS COUNTY
7467171,2019410212,2/10/2019 0:00,231,401 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459769968: 2019410212,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,1,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,5/29/2015 0:00,4,3115439,10070324,9,-,78701,1,TRAVIS COUNTY
7466977,2019410468,2/10/2019 0:00,845,2711 S IH 35 SVRD NB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459756009: 2019410468,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DET TEAM 1 PROP REG III SUPRT,10/23/1998 0:00,20,3114575,10056441,3,23,78741,1,TRAVIS COUNTY
7466977,2019410468,2/10/2019 0:00,,2711 S IH 35 SVRD NB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,459756009: 2019410468,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 200 REG III PATROL,10/7/2011 0:00,7,3114575,10056441,3,23,78741,1,TRAVIS COUNTY
7468838,2019410697,2/10/2019 0:00,,133 W OLTORF ST,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,458971406: 2019410697,COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 200 REG IV PATROL,6/27/2003 0:00,16,3110610,10060362,3,13.08,78704,1,TRAVIS COUNTY
7468838,2019410697,2/10/2019 0:00,,133 W OLTORF ST,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,458971406: 2019410697,COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 200 REG IV PATROL,1/4/2008 0:00,11,3110610,10060362,3,13.08,78704,1,TRAVIS COUNTY
7467217,2019410908,2/9/2019 0:00,1520,1108 WARRINGTON DR,ED,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,459702590: 2019410908,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 200 REG II PATROL,1/4/2008 0:00,11,3134367,10105741,4,18.33,78753,1,TRAVIS COUNTY
7467217,2019410908,2/9/2019 0:00,1520,1108 WARRINGTON DR,ED,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,459702590: 2019410908,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 200 REG II PATROL,4/23/2010 0:00,9,3134367,10105741,4,18.33,78753,1,TRAVIS COUNTY
7467189,2019411217,2/10/2019 0:00,1920,VILLAGE WALK / S PLEASANT VALLEY RD,FR,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459149875: 2019411217,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,FRANK 500 REG IV PATROL,3/20/2015 0:00,4,3114310,10044513,2,-,78744,1,TRAVIS COUNTY
7469271,2019411353,2/10/2019 0:00,,710 E BEN WHITE BLVD SVRD EB,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459731849: 2019411353,NO COMPLAINT OF INJURY/PAIN,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 700 REG IV PATROL,12/13/2013 0:00,5,3110632,10052562,3,24,78745,1,TRAVIS COUNTY
7449037,201941209,1/4/2019 0:00,2049,1900 E OLTORF ST,HE,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO DEFEND REPORTING OFFICER,3,180368203: 201941209,COMPLAINT OF INJURY/PAIN,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,METRO TAC REGION 3,1/2/2009 0:00,10,3117101,10057503,3,-,78741,1,TRAVIS COUNTY
7449037,201941209,1/4/2019 0:00,1739,1900 E OLTORF ST,HE,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,180368203: 201941209,COMPLAINT OF INJURY/PAIN,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,METRO TAC REGION 3,4/23/2010 0:00,9,3117101,10057503,3,-,78741,1,TRAVIS COUNTY
